grid,direction,value
100,N,1900514.4904624654
200,N,1901380.0667429348
300,N,1901438.6831898647
400,N,1902620.5180807894
500,N,1903243.346488807
600,N,1903948.570508136
700,N,1904619.320807798
800,N,1905270.4103205327
900,N,1906043.494540894
1000,N,1915654.4380809194
1100,N,1907094.792214886
1200,N,1908070.5213470084
1300,N,1908515.0764107218
1400,N,1909269.5332691777
1500,N,1909759.8648474016
1600,N,1910364.8158101798
1700,N,1911045.2375609812
1800,N,1911714.1322128905
1900,N,1912427.5382914667
2000,N,1913122.9989921686
2100,N,1913673.485804287
2200,N,1914445.9033141835
2300,N,1915000.7470610153
2400,N,1915718.208985371
2500,N,1916337.0715413806
2600,N,1917126.561488492
2700,N,1917616.283815633
2800,N,1918366.3375421956
2900,N,1918909.8100403163
3000,N,1919594.2774088748
3100,N,1920255.9017005472
3200,N,1920892.632090251
3300,N,1921522.4702034113
3400,N,1922194.4880120617
3500,N,1922861.8831176432
3600,N,1923555.4011016116
3700,N,1924234.1321971011
3800,N,1924949.3174348401
3900,N,1925539.9742174621
4000,N,1924762.5572076987
4100,N,1926954.3090760554
4200,N,1927618.5095442685
4300,N,1928353.3030766947
4400,N,1928992.195300138
4500,N,1929633.6603117501
4600,N,1930288.133199722
4700,N,1930978.9804180497
4800,N,1931568.1511351995
4900,N,1933353.561477538
5000,N,1932927.0188436261
5100,N,1933575.8173890705
5200,N,1934129.878962249
5300,N,1934811.510354813
5400,N,1936287.2679043438
5600,N,1936849.7727966013
5700,N,1937572.4698769304
5800,N,1938312.0400342608
5900,N,1938917.136458968
6000,N,1939600.1932910678
6100,N,1940312.9029299528
6200,N,1941024.9784985806
6300,N,1941468.968201206
6400,N,1942240.1689069758
6500,N,1942969.8683649385
6600,N,1943742.891796052
6700,N,1944348.7931722756
6800,N,1945029.9842793366
6900,N,1945770.2567775096
7000,N,1946231.1415216818
7100,N,1947086.6049753171
7200,N,1947391.019069841
7300,N,1948184.7508787643
7400,N,1948838.2722545443
7500,N,1949473.268101733
7600,N,1950208.9322019494
7700,N,1950996.2600665635
7800,N,1951465.2116303998
100,W,1176862.794311205
200,W,1174985.0678817336
300,W,1175170.3361478194
400,W,1171936.0273508236
500,W,1173565.303195551
600,W,1172836.0009194582
700,W,1171920.1086699544
800,W,1171053.8332425263
900,W,1171044.5744916787
1000,W,1170257.2239992279
1100,W,1169342.8744680565
1200,W,1168979.9975513162
1300,W,1168218.9340959655
1400,W,1167253.7293577318
1500,W,1166571.2375952648
1600,W,1166211.4879240878
1700,W,1165342.4061061423
1800,W,1164992.823679878
1900,W,1163772.8139550772
2000,W,1163599.49089169
2100,W,1163111.9451577063
2200,W,1161788.2824464063
2300,W,1161330.8664066575
2400,W,1160336.469707898
2500,W,1159849.2754187763
2600,W,1159167.4519031453
2700,W,1158500.6728275542
2800,W,1154281.8144311807
2900,W,1157017.187328637
3000,W,1156256.482102575
3100,W,1155921.7269954123
3200,W,1155171.857020231
3300,W,1154556.923244931
3400,W,1153950.1318626294
3500,W,1153479.4503944598
3600,W,1152801.8394437856
3700,W,1152238.331984443
3800,W,1151496.2059201787
3900,W,1150864.2483922858
4000,W,1144439.8513726376
4100,W,1149320.7627474507
4200,W,1148508.4335038897
4300,W,1147799.3610019197
4400,W,1146146.8417734676
4500,W,1144677.6390278717
4600,W,1145632.1675146646
4700,W,1145196.7769004437
4800,W,1144439.9448991157
4900,W,1143365.6794855113
5000,W,1142766.9761983452
5100,W,1142394.2981331372
5200,W,1141619.723312112
5300,W,1143104.8890901504
5400,W,1139670.5474309137
5500,W,1139261.542592171
5600,W,1138875.6147161368
5700,W,1138123.7406218806
5800,W,1137419.962065979
5900,W,1136656.5971692542
6000,W,1136085.6347097587
6100,W,1135465.603850375
6200,W,1134597.7602422552
6300,W,1134007.6289911545
6400,W,1133312.674697898
6500,W,1133049.2390148556
6600,W,1132450.4387447296
6700,W,1131253.99783332
6800,W,1130900.0994068882
6900,W,1130132.9663756483
7000,W,1129442.2092154338
7100,W,1129029.7766906947
7200,W,1127729.1282506515
7300,W,1126724.7220835453
7400,W,1125789.1045260814
7500,W,1125455.6033372008
7600,W,1124641.2752104406
7700,W,1124161.8173339993
7800,W,1123586.0347191861
7900,W,1122817.3349423227
8000,W,1122062.6712869813
8100,W,1121387.2285641092
8200,W,1120712.3829850007
8300,W,1120072.2836546903
8500,W,1118669.4604674354
8600,W,1117873.5802868523
8700,W,1117476.9864921418
8800,W,1116694.616288202
9700,W,1110622.1582131002
9800,W,1109971.8947780353
11600,W,1098367.380575497
100,E,1178083.6695639496
200,E,1180565.7672583235
300,E,1179197.8163170554
400,E,1180436.1224373512
500,E,1181084.1502523255
600,E,1178798.9820378027
700,E,1182260.5616617664
800,E,1183152.033474928
900,E,1183215.853441661
1000,E,1184672.70832274
1100,E,1184858.638861892
1200,E,1185607.5732911716
1300,E,1185990.9770057816
1400,E,1186750.9290639346
1500,E,1187683.4551138226
1600,E,1188608.6762019955
1700,E,1188914.1333193013
1800,E,1190628.133201153
1900,E,1190208.3551232892
2000,E,1190981.652615684
2100,E,1191660.7552469342
2200,E,1192274.3470133995
2300,E,1193000.1260673336
2400,E,1194418.3791751796
2500,E,1194460.1358700588
2600,E,1195091.2168197455
2800,E,1196216.0275678202
2900,E,1197108.7394073147
3000,E,1197913.4617968805
3200,E,1199070.325680142
3300,E,1199860.7080138093
3400,E,1200545.0168557512
3600,E,1201922.2277110883
100,S,1899614.19082861
200,S,1899087.130950204
300,S,1898625.7414080566
400,S,1898119.4033667457
500,S,1897484.6432670075
600,S,1897301.2931842941
700,S,1897088.4873215677
800,S,1896680.1161280184
900,S,1895884.6997227275
1000,S,1895663.5989329168
1100,S,1895051.9304465402
1200,S,1894601.3693028013
1300,S,1894007.9017174281
1400,S,1893368.6154297523
1500,S,1892593.440208896
1600,S,1892074.1666954295
1700,S,1891789.5615118728
1800,S,1891373.2730116535
1900,S,1890756.1725068684
2000,S,1890496.017902618
2100,S,1889960.2759878451
2200,S,1889422.3119105345
2300,S,1888762.4089668076
2400,S,1887972.9945604992
2500,S,1887290.941779601
2600,S,1886749.9994892855
2700,S,1886115.4583665289
2800,S,1885621.599532102
2900,S,1885640.221873647
3000,S,1884648.1599772938
3100,S,1884161.4147925808
3200,S,1883444.6753428853
3300,S,1882894.682321783
3400,S,1882182.9576653726
3500,S,1881703.17347906
3600,S,1880766.0773664515
3700,S,1880257.6583897155
3800,S,1879523.3918541165
3900,S,1878915.601988721
4000,S,1878081.6096799087
4100,S,1877671.4321151199
4200,S,1876911.2199653143
4300,S,1876232.2631649082
4400,S,1875470.5853918744
4500,S,1874816.531595027
4600,S,1874162.144461065
4700,S,1873493.4844609862
4800,S,1872805.1498721964
4900,S,1872193.4888302588
5000,S,1871530.3865988972
5100,S,1870720.5608140598
5200,S,1869954.7828686712
5300,S,1869405.3914342416
5400,S,1868770.6595404944
5500,S,1868169.1520528886
5600,S,1867394.8003316517
5700,S,1851861.8106371134
5800,S,1866010.5275834068
5900,S,1865406.0950669083
6000,S,1864732.1541844371
6100,S,1864076.5783322137
6200,S,1863363.8149072444
6300,S,1862688.746291289
6400,S,1861972.1146960654
6500,S,1861465.6326111811
6600,S,1860917.3342874714
6700,S,1860510.1691880517
6800,S,1859686.9691423362
6900,S,1859086.1563757544
7000,S,1858442.1012615082
7100,S,1857871.2190565642
7200,S,1857125.6792930914
7300,S,1856517.8468868642
7400,S,1854926.1352111797
7500,S,1855311.6409382178
7600,S,1854519.745582198
7700,S,1853792.5005412092
7800,S,1853191.5727712808
7900,S,1852372.6160555608
8000,S,1851809.2830940478
8100,S,1851095.357950274
8200,S,1850435.6775738343
8300,S,1849790.2357260506
8400,S,1849076.4887054497
8500,S,1848416.4639535702
8600,S,1847824.250622434
8700,S,1847105.0893001035
8800,S,1846722.7721234276
8900,S,1846039.5924299604
9000,S,1845387.4022850327
9100,S,1844692.3516002328
9200,S,1844062.2457668374
9300,S,1843436.6043081246
9400,S,1842684.041340172
9500,S,1842681.740121626
9600,S,1841428.483607835
9700,S,1840744.7034885527
9800,S,1840027.9863192334
9900,S,1839289.5475583775
10000,S,1838686.0297433133
10100,S,1837894.4393610992
10200,S,1837270.1013011036
10300,S,1836594.9945539387
10400,S,1835919.7223801496
10500,S,1835197.8193753597
10600,S,1834688.3901065527
10700,S,1833845.7699219275
10800,S,1833189.1044163702
10900,S,1832542.0078534163
11000,S,1831886.1055422674
11100,S,1831181.8103632014
11200,S,1830558.9875918059
11300,S,1829904.1522261028
11400,S,1829223.2257231022
11500,S,1828453.226525986
11600,S,1827913.978111447
11700,S,1827316.8051781773
11800,S,1826648.2991168418
11900,S,1827212.175622227
12000,S,1825284.2421329387
12100,S,1824622.5402379378
12200,S,1824113.4077887193
12300,S,1823296.739018273
12400,S,1822675.0423847411
12500,S,1821975.5335797472
12600,S,1821634.8414535783
12700,S,1820674.065420443
12800,S,1820098.7584132394
12900,S,1819323.0311097724
13000,S,1819352.7928290714
13100,S,1818563.8168858748
13200,S,1817968.504785912
13300,S,1817315.818717863
13400,S,1816570.7610836998
13500,S,1816004.462779996
13600,S,1815320.2806609105
13700,S,1814618.3758811567
13800,S,1813933.9518828846
